Gene Symbol,Affymetrix ID,Module Assigned
1810065E05Rik,1424439_at,NA
1810073G14Rik,1424253_at,grey
1810073G14Rik,1451283_at,grey
1810073N04Rik,1434617_x_at,NA
1810073N04Rik,1429979_a_at,NA
1810073N04Rik,1427295_at,NA
1810073N04Rik,1434616_at,NA
1810073N04Rik,1415825_s_at,purple
1810073N04Rik,1427294_a_at,turquoise
1810073N04Rik,1429980_x_at,NA
1810073N04Rik,1456241_a_at,turquoise
2-Mar,1424888_at,grey
2-Sep,1423473_at,NA
2-Sep,1423472_at,NA
2010001E11Rik /// AI317395,1451760_s_at,NA
2010001M06Rik,1440213_a_at,NA
2010002A20Rik,1419498_at,NA
2010002N04Rik,1423306_at,NA
2010003K11Rik,1424626_at,NA
2010003O02Rik,1453033_at,NA
2010003O02Rik,1429115_at,NA
2010003O18Rik,1425211_at,NA
2010004A03Rik,1431920_a_at,NA
